"event","bin","PRGDP"
1968,2,9.4
1969,3,8.1
1970,6,5.5
1971,3,8.6
1972,2,9.8
1973,2,11.7
1974,9,8.5
1975,9,8.8
1976,6,11.3
1977,6,11.2
1978,5,12.9
1979,5,12.1
1980,9,8.7
1982,5,-1.7
1983,2,4.5
1984,1,7.1
1985,3,3.8
1986,3,3.2
1987,3,3.4
1988,2,4.2
1989,3,3.7
1990,3,2
1991,5,-0.2
1992,4,3.5
1993,5,2.8
1994,3,4
1995,5,2.7
1996,4,3.8
1997,3,4.4
1998,3,4.5
1999,3,4.8
2000,3,4.1
2001,6,1
2002,6,1.7
2003,5,2.8
2004,4,3.9
2005,4,3.5
2006,5,2.8
2007,5,2
2008,7,0.1
2009,10,-2.6
2010,5,2.7
2011,6,1.5
2012,5,2.3
2013,6,1.8
2014,5,2.3
2015,5,2.7
2016,6,1.7
2017,5,2.3
2018,5,2.9
2019,5,2.3
2020,9,-3.4
2021,4,5.7
